Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
53,Stew Johnson\johnsst01,PF,30,SDA,9,253,13.1,.438,.071,.029,4.1,15.5,9.7,10.8,1.1,1.0,9.0,28.8,,-0.2,0.1,-0.1,-0.016,,-2.1,-1.4,-3.5,-0.1
53,Stew Johnson\johnsst01,PF,30,MMS,72,2559,14.2,.471,.091,.061,4.9,13.0,8.8,7.2,1.7,0.4,6.9,23.8,,0.6,1.5,2.1,.040,,-0.9,-1.5,-2.3,-0.2
54,Bobby Jones*\jonesbo01,PF,23,DNA,84,2706,19.4,.626,.001,.307,9.6,17.3,13.7,14.4,2.8,3.0,19.0,17.2,,5.5,4.7,10.2,.181,,3.1,2.6,5.7,5.2
55,Caldwell Jones\jonesca01,C,24,SDA,76,3004,19.2,.533,.009,.270,9.9,24.9,17.3,7.3,0.9,4.1,12.2,20.2,,4.5,3.6,8.1,.130,,1.0,0.6,1.6,2.7
56,Collis Jones\jonesco01,SF,25,MMS,81,1880,15.9,.516,.021,.252,7.8,12.3,10.0,6.1,2.7,0.9,8.1,18.8,,2.6,1.6,4.2,.108,,-0.1,0.2,0.1,1.0
57,Rich Jones\jonesri01,PF,28,SAA,83,3097,15.5,.486,.034,.253,8.0,12.7,10.4,12.1,1.3,0.6,11.3,23.4,,3.8,2.5,6.3,.098,,0.8,-1.1,-0.3,1.3
58,Steve Jones\jonesst01,SG,32,SSL,69,1884,10.5,.503,.029,.315,2.2,8.2,5.1,13.4,1.3,0.2,16.5,18.0,,0.9,0.7,1.6,.042,,-2.1,-1.2,-3.3,-0.6
59,Wali Jones\joneswa02,SG,32,UTS,71,1339,10.2,.460,.048,.237,1.2,4.6,3.0,16.8,1.5,0.1,11.6,20.3,,0.4,0.8,1.2,.044,,-2.9,-0.3,-3.3,-0.4
60,Wil Jones\joneswi02,SF,27,KEN,84,2689,13.6,.512,.005,.199,7.5,14.9,11.3,12.8,1.9,1.4,16.2,18.0,,1.8,5.1,6.9,.124,,-0.7,1.9,1.1,2.1
61,Kevin Joyce\joyceke01,SG,23,INA,81,2828,11.2,.457,.034,.145,1.9,3.7,2.8,14.7,1.7,0.4,10.2,19.6,,1.8,1.2,3.0,.050,,-2.2,-1.0,-3.2,-0.9
62,George Karl*\karlge01,PG,23,SAA,82,1629,14.8,.542,.043,.331,2.9,6.5,4.7,26.6,2.7,0.2,20.5,18.5,,1.9,1.5,3.4,.100,,0.0,0.4,0.3,1.0
63,Bill Keller\kellebi01,PG,27,INA,79,1918,15.3,.512,.264,.141,4.3,6.4,5.3,14.1,1.4,0.1,10.2,21.0,,3.6,0.8,4.4,.109,,1.7,-1.5,0.2,1.1
64,Goo Kennedy\kennego01,SF,25,SSL,74,1532,15.2,.563,.002,.332,10.9,13.4,12.2,5.2,1.9,0.3,13.0,17.5,,2.8,1.2,4.0,.125,,0.3,-0.7,-0.5,0.6
65,Larry Kenon\kenonla01,PF,22,NYA,84,3165,17.0,.541,.002,.213,9.1,19.5,14.4,5.2,1.6,0.5,12.4,20.9,,4.3,5.7,10.0,.152,,0.6,-0.5,0.1,1.6
66,Julius Keye\keyeju01,PF,28,MMS,12,233,3.4,.297,.000,.170,6.7,17.6,12.0,1.0,0.8,1.2,13.7,10.5,,-0.4,0.2,-0.2,-0.044,,-5.3,-1.5,-6.8,-0.4
67,Billy Knight\knighbi01,SF,22,INA,80,2559,18.5,.571,.015,.238,10.2,13.7,11.9,8.9,2.1,0.6,16.4,21.1,,4.7,2.4,7.1,.133,,2.1,-0.7,1.4,2.2
68,Wendell Ladner\ladnewe01,SF,26,NYA,25,436,4.5,.290,.208,.058,5.0,10.7,7.9,10.5,3.4,0.1,11.5,18.4,,-1.2,0.8,-0.4,-0.039,,-7.1,1.0,-6.1,-0.5
69,Bo Lamar\lamarbo01,PG,23,SDA,77,2917,14.5,.470,.069,.201,2.9,5.1,4.0,20.5,2.0,0.2,12.2,25.7,,0.7,0.8,1.5,.024,,-0.2,-1.4,-1.6,0.3
70,Greg Lee\leegr01,PG,23,SDA,5,63,11.4,.567,.000,.133,1.5,3.1,2.3,25.3,2.9,0.0,27.4,13.4,,0.0,0.0,0.1,.041,,-3.1,0.2,-2.9,0.0
71,Freddie Lewis\lewisfr02,PG-SG,31,TOT,69,2790,17.3,.540,.054,.342,3.9,5.6,4.7,18.3,2.4,0.1,12.7,22.2,,5.8,1.5,7.3,.126,,1.6,-0.4,1.2,2.3
71,Freddie Lewis\lewisfr02,SG,31,MMS,6,227,13.2,.449,.054,.144,4.8,4.2,4.5,12.3,2.1,0.0,7.8,23.5,,0.0,0.1,0.1,.019,,-1.1,-1.0,-2.2,0.0
71,Freddie Lewis\lewisfr02,PG,31,SSL,63,2563,17.7,.548,.054,.361,3.8,5.8,4.8,18.8,2.4,0.1,13.1,22.1,,5.8,1.5,7.2,.135,,1.8,-0.3,1.5,2.3
72,Gene Littles\littlge01,PG,31,KEN,61,900,9.1,.472,.040,.287,3.4,6.1,4.8,16.1,2.7,0.2,21.4,12.7,,0.0,1.5,1.4,.075,,-2.8,2.2,-0.5,0.3
73,Stan Love\lovest01,PF,25,SAA,12,64,14.4,.457,.000,.133,9.4,27.7,18.7,19.3,0.0,3.4,15.9,23.1,,0.0,0.1,0.1,.078,,-3.6,0.5,-3.1,0.0
74,Maurice Lucas\lucasma01,C,22,SSL,80,2464,16.4,.510,.010,.244,11.2,22.1,16.5,15.5,1.6,1.4,16.7,19.2,,2.8,2.7,5.5,.108,,0.6,0.4,0.9,1.8
75,Moses Malone*\malonmo01,C,19,UTS,83,3205,19.6,.601,.001,.571,15.5,23.6,19.7,3.9,1.3,2.2,19.8,20.9,,5.1,5.1,10.2,.153,,1.5,-0.2,1.4,2.7
76,Ed Manning\mannied01,SF,31,NYA,70,992,8.1,.461,.008,.173,6.2,15.3,10.8,6.9,1.9,0.5,17.9,12.8,,-0.2,1.7,1.5,.071,,-3.8,1.0,-2.8,-0.2
77,Ted McClain\mcclate01,SG,28,KEN,72,1971,12.3,.480,.014,.237,3.4,10.1,6.8,23.5,3.1,0.4,20.6,16.2,,0.3,3.8,4.1,.099,,-2.0,2.7,0.7,1.3
78,Patrick McFarland\mcfarpa01,SG,23,DNA,70,945,12.2,.501,.038,.156,4.4,8.9,6.8,16.1,2.2,0.3,19.2,22.6,,-0.2,1.0,0.7,.037,,-1.2,-0.8,-2.0,0.0
79,George McGinnis*\mcginge01,PF,24,INA,79,3193,25.1,.519,.090,.389,11.4,23.1,16.9,22.6,2.9,0.9,15.7,31.7,,6.6,5.0,11.6,.174,,5.5,0.8,6.4,6.7
80,Roy McPipe\mcpipro01,SG,24,UTS,5,44,-0.8,.408,.167,.167,5.0,6.8,5.9,3.5,1.1,0.0,28.0,33.8,,-0.3,0.0,-0.2,-0.265,,-5.4,-1.2,-6.6,-0.1
81,Bill Melchionni\melchbi01,PG,30,NYA,77,1384,13.9,.528,.065,.189,0.9,4.5,2.7,28.7,2.3,0.3,19.2,16.0,,1.5,1.8,3.3,.114,,0.0,0.1,0.1,0.7
