Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
10,Byron Beck\beckby01,C,29,DNR,82,,24.1,5.2,10.0,.516,0.0,0.0,.000,5.2,10.0,.517,.516,1.5,1.7,.851,2.0,3.1,5.1,0.9,0.6,0.1,1.0,2.8,11.8
11,Ron Boone\boonero01,SG,27,UTS,84,,36.9,7.0,14.1,.494,0.1,0.3,.231,6.9,13.8,.500,.497,3.6,4.1,.875,1.9,3.3,5.2,5.0,1.5,0.3,3.8,3.4,17.6
12,Jim Bradley\bradlji01,SF,21,KEN,35,,25.3,3.7,8.8,.421,0.0,0.1,.000,3.7,8.8,.423,.421,0.9,1.3,.705,1.9,4.2,6.1,1.4,1.1,0.8,1.6,3.0,8.3
13,Roger Brown*\brownro01,SF,31,INA,82,,30.8,4.6,10.1,.457,0.7,1.9,.361,3.9,8.2,.479,.491,1.9,2.4,.775,1.4,3.4,4.8,2.8,0.7,0.7,1.5,3.0,11.8
14,Roger Brown\brownro02,C,23,TOT,63,,15.7,1.6,4.1,.377,0.0,0.0,,1.6,4.1,.377,.377,0.5,0.9,.607,2.3,3.3,5.6,0.7,0.4,1.0,1.3,2.0,3.7
14,Roger Brown\brownro02,C,23,SAA,2,,13.0,2.5,3.0,.833,0.0,0.0,,2.5,3.0,.833,.833,0.0,0.0,,1.5,1.5,3.0,0.5,0.0,0.0,1.0,2.0,5.0
14,Roger Brown\brownro02,C,23,VIR,61,,15.8,1.5,4.2,.366,0.0,0.0,,1.5,4.2,.366,.366,0.6,0.9,.607,2.3,3.3,5.7,0.7,0.4,1.0,1.3,2.0,3.6
15,Don Buse\busedo01,SG,23,INA,77,,24.4,2.2,5.5,.398,0.5,1.4,.336,1.7,4.2,.419,.440,0.6,0.9,.686,1.1,2.2,3.3,3.4,1.9,0.3,1.0,1.4,5.5
16,Joe Caldwell\caldwjo01,SF,32,CAR,79,,33.6,6.4,13.0,.489,0.0,0.2,.176,6.3,12.8,.494,.490,1.6,3.3,.496,2.2,3.0,5.2,4.4,2.2,0.4,3.1,3.2,14.4
17,Mack Calvin\calvima01,PG,26,CAR,83,,31.2,6.0,13.0,.462,0.1,0.5,.233,5.9,12.5,.471,.467,5.9,6.7,.875,0.9,2.0,2.9,4.2,1.6,0.1,2.8,2.9,18.0
18,Larry Cannon\cannola01,SG,26,INA,3,,8.7,1.0,2.3,.429,0.0,0.0,,1.0,2.3,.429,.429,0.3,1.0,.333,0.3,0.7,1.0,1.0,0.0,0.0,1.0,0.7,2.3
19,George Carter\cartege01,SF,30,VIR,80,,35.2,7.0,16.6,.422,0.4,1.2,.344,6.6,15.5,.428,.434,4.9,5.8,.841,2.4,4.3,6.7,1.7,0.8,0.2,2.9,3.9,19.3
20,Jerry Chambers\chambje01,SF,30,SAA,38,,15.2,2.5,5.4,.456,0.0,0.0,,2.5,5.4,.456,.456,0.9,1.3,.750,1.0,1.7,2.7,1.1,0.3,0.1,0.7,1.9,5.9
21,Jim Chones\choneji01,C,24,CAR,83,,28.8,6.4,12.3,.526,0.0,0.0,.000,6.4,12.2,.527,.526,1.9,3.0,.615,2.3,5.5,7.8,1.4,0.7,1.6,2.5,4.2,14.8
22,Glen Combs\combsgl01,PG-SG,27,TOT,76,,26.1,4.0,9.2,.437,0.7,1.9,.354,3.3,7.2,.459,.474,2.1,2.8,.736,0.6,1.3,1.9,4.0,0.7,0.1,1.9,2.0,10.7
22,Glen Combs\combsgl01,SG,27,UTS,37,,16.7,2.8,6.7,.423,0.6,1.8,.353,2.2,4.9,.450,.472,1.5,2.2,.713,0.5,0.9,1.4,1.9,0.4,0.2,1.2,1.5,7.9
22,Glen Combs\combsgl01,PG,27,MMT,39,,35.1,5.1,11.5,.444,0.7,2.0,.354,4.4,9.5,.463,.475,2.5,3.4,.750,0.7,1.6,2.3,6.0,0.9,0.1,2.6,2.5,13.5
23,Billy Cunningham*\cunnibi01,SF,30,CAR,32,,37.2,7.9,16.8,.471,0.0,0.3,.125,7.9,16.5,.476,.472,4.7,5.8,.797,2.7,7.7,10.3,4.7,1.8,0.7,4.0,3.3,20.5
24,Louie Dampier*\dampilo01,PG,29,KEN,84,,35.0,7.2,15.4,.465,0.6,1.5,.387,6.6,14.0,.474,.484,2.8,3.4,.832,0.5,1.8,2.4,5.6,1.0,0.2,2.7,1.8,17.8
25,Mel Daniels*\danieme01,C,29,INA,78,,32.6,6.3,14.3,.440,0.0,0.0,,6.3,14.3,.440,.440,2.8,3.7,.756,3.2,8.4,11.6,1.6,0.7,1.2,2.8,3.6,15.4
26,Lee Davis\davisle01,C,28,MMT,79,,20.7,3.4,7.5,.451,0.0,0.1,.250,3.4,7.4,.452,.452,1.2,1.9,.645,1.8,3.5,5.3,1.8,0.4,0.5,1.3,3.0,8.0
27,Randy Denton\dentora01,C,24,MMT,79,,28.1,5.7,11.4,.496,0.0,0.0,.000,5.7,11.4,.497,.496,2.0,2.5,.792,3.2,6.6,9.8,1.9,0.7,0.4,2.1,2.8,13.3
28,Coby Dietrick\dietrco01,PF,25,SAA,84,,25.5,3.0,6.8,.441,0.0,0.0,.000,3.0,6.7,.443,.441,1.0,1.4,.711,2.4,4.0,6.3,3.0,1.1,0.6,1.8,3.4,6.9
29,Jim Eakins\eakinji01,C,27,VIR,84,,31.5,5.3,10.2,.520,0.0,0.0,.000,5.3,10.2,.520,.520,4.0,5.1,.785,3.5,6.1,9.6,2.8,0.8,1.2,2.7,3.2,14.6
30,Roy Ebron\ebronro01,C,22,UTS,40,,13.2,2.6,5.3,.488,0.0,0.0,.000,2.6,5.3,.490,.488,1.1,2.1,.512,2.0,2.4,4.4,0.5,0.4,0.8,0.9,1.7,6.2
31,Charles Edge\edgech01,SF,23,MMT,78,,25.0,4.0,8.0,.500,0.0,0.0,.000,4.0,8.0,.501,.500,1.6,2.3,.681,3.2,5.0,8.2,0.9,0.8,0.9,1.7,1.8,9.6
32,Scott English\englisc01,SF,23,VIR,5,,9.6,0.6,3.0,.200,0.0,0.0,,0.6,3.0,.200,.200,0.8,0.8,1.000,0.6,2.6,3.2,0.8,0.6,0.0,1.8,1.8,2.0
33,Julius Erving*\ervinju01,SF,23,NYA,84,,40.5,10.9,21.3,.512,0.2,0.5,.395,10.7,20.7,.515,.517,5.4,7.1,.766,3.1,7.6,10.7,5.2,2.3,2.4,4.1,3.2,27.4
34,Larry Finch\finchla01,SG,22,MMT,65,,17.8,2.5,6.1,.411,0.1,0.4,.269,2.4,5.7,.421,.420,1.7,2.1,.794,0.4,0.8,1.1,1.7,0.4,0.0,1.5,2.5,6.8
35,Donnie Freeman\freemdo01,SG,29,INA,66,,26.3,5.8,12.7,.456,0.0,0.0,.000,5.8,12.7,.458,.456,2.7,3.4,.797,1.4,1.2,2.5,2.5,0.7,0.3,2.0,2.6,14.3
36,Mike Gale\galemi01,SG-PG,23,TOT,80,,31.2,3.9,9.0,.436,0.0,0.2,.118,3.9,8.8,.444,.438,1.3,1.8,.750,1.3,3.3,4.6,4.1,2.1,1.0,2.2,3.0,9.2
36,Mike Gale\galemi01,SG,23,KEN,48,,33.1,4.2,9.5,.441,0.0,0.2,.182,4.1,9.2,.447,.443,1.6,2.2,.731,1.2,3.3,4.5,4.2,2.2,1.0,2.6,3.3,10.0
36,Mike Gale\galemi01,PG,23,NYA,32,,28.3,3.6,8.3,.429,0.0,0.2,.000,3.6,8.1,.438,.429,0.9,1.1,.806,1.6,3.2,4.8,3.9,1.9,1.1,1.7,2.6,8.0
37,George Gervin*\gervige01,SG-SF,21,TOT,74,,33.9,9.1,19.3,.471,0.1,0.8,.143,9.0,18.5,.485,.474,5.1,6.3,.815,2.3,6.1,8.4,1.9,1.4,1.6,3.4,3.6,23.4
37,George Gervin*\gervige01,SG,21,VIR,49,,35.3,9.9,21.0,.472,0.2,1.0,.160,9.8,20.0,.488,.476,5.3,6.7,.799,2.2,6.3,8.5,2.0,1.5,1.8,3.8,3.4,25.4
37,George Gervin*\gervige01,SF,21,SAA,25,,31.3,7.4,15.8,.468,0.0,0.2,.000,7.4,15.6,.476,.468,4.6,5.4,.853,2.5,5.8,8.2,1.8,1.0,1.4,2.6,3.9,19.4
38,Artis Gilmore*\gilmoar01,C,24,KEN,84,,41.7,7.4,15.0,.493,0.0,0.0,.000,7.4,15.0,.494,.493,3.9,5.8,.667,5.7,12.6,18.3,3.9,0.7,3.4,3.8,3.6,18.7
39,Gerald Govan\govange01,C,32,UTS,83,,33.3,3.1,6.5,.471,0.0,0.0,.000,3.1,6.5,.473,.471,0.9,1.3,.689,1.7,7.1,8.8,3.0,0.7,0.6,1.9,3.1,7.0
40,Travis Grant\granttr01,SF,24,SDA,56,,23.6,6.4,12.2,.524,0.0,0.1,.250,6.4,12.1,.526,.525,2.5,3.1,.801,1.9,3.4,5.3,1.1,0.8,0.2,1.6,2.1,15.3
41,Mike Green\greenmi01,C,22,DNR,79,,20.9,4.6,10.1,.459,0.0,0.0,.500,4.6,10.1,.459,.460,2.1,2.9,.748,2.8,4.5,7.4,0.8,0.6,1.6,1.6,2.4,11.4
42,Gary Gregor\gregoga01,SF,28,NYA,25,,12.5,1.6,3.4,.471,0.1,0.1,.667,1.5,3.3,.463,.482,0.4,0.4,.818,0.9,2.0,2.8,0.6,0.2,0.0,0.4,1.9,3.6
43,Joe Hamilton\hamiljo01,PG,25,TOT,73,,26.9,4.5,11.4,.397,0.5,2.0,.257,4.0,9.5,.426,.419,1.6,2.0,.818,0.5,1.7,2.3,3.3,1.0,0.1,1.5,2.1,11.2
43,Joe Hamilton\hamiljo01,PG,25,SAA,43,,32.9,5.3,13.6,.390,0.4,2.0,.221,4.9,11.6,.420,.407,2.1,2.6,.836,0.6,2.1,2.7,3.8,1.2,0.0,1.9,2.1,13.2
43,Joe Hamilton\hamiljo01,PG,25,KEN,30,,18.2,3.4,8.3,.412,0.6,1.9,.310,2.8,6.4,.443,.448,0.8,1.1,.758,0.4,1.2,1.6,2.7,0.8,0.1,1.0,2.1,8.3
44,Simmie Hill\hillsi01,SF,27,SAA,60,,14.0,1.9,4.1,.459,0.0,0.2,.000,1.9,3.9,.481,.459,0.8,1.0,.726,1.0,1.9,2.9,1.0,0.2,0.3,1.1,2.4,4.5
45,Darnell Hillman\hillmda01,PF,24,INA,83,,27.9,4.0,7.9,.498,0.0,0.1,.375,3.9,7.8,.500,.501,1.2,2.3,.518,2.4,5.8,8.1,1.2,0.8,2.1,2.1,3.6,9.1
46,George Irvine\irvinge01,SF,25,VIR,75,,15.2,3.4,6.9,.492,0.2,0.6,.261,3.2,6.3,.515,.504,1.6,1.8,.870,0.7,1.6,2.4,1.0,0.4,0.2,0.9,1.8,8.5
47,Dan Issel*\isselda01,PF,25,KEN,83,,40.3,10.0,20.8,.480,0.0,0.2,.176,10.0,20.6,.483,.481,5.5,7.0,.787,4.2,6.0,10.2,1.7,0.8,0.4,2.1,2.4,25.5
48,Warren Jabali\jabalwa01,SG,27,DNR,49,,34.9,5.2,13.4,.391,0.9,2.5,.366,4.3,10.9,.397,.425,4.5,5.6,.803,1.7,3.3,5.0,7.3,2.0,0.2,4.0,3.4,15.9
49,Mike Jackson\jacksmi01,PF,24,TOT,72,,20.5,3.4,6.8,.505,0.0,0.1,.429,3.4,6.7,.506,.508,1.5,2.1,.724,1.9,3.3,5.3,0.8,0.3,0.2,1.5,3.1,8.4
49,Mike Jackson\jacksmi01,PF,24,UTS,33,,20.5,3.2,7.2,.451,0.0,0.0,,3.2,7.2,.451,.451,1.6,2.1,.794,1.9,3.2,5.1,0.7,0.4,0.3,1.6,3.1,8.1
49,Mike Jackson\jacksmi01,PF,24,MMT,39,,20.4,3.6,6.5,.556,0.1,0.2,.429,3.5,6.3,.559,.562,1.4,2.2,.667,2.0,3.5,5.5,0.9,0.3,0.1,1.5,3.1,8.7
50,Billy James\jamesbi01,PG,23,KEN,1,,10.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0
51,Stew Johnson\johnsst01,PF,29,SDA,84,,31.6,8.5,19.9,.429,0.7,2.3,.311,7.8,17.6,.445,.447,2.4,2.8,.847,2.2,4.2,6.3,1.5,0.9,0.2,1.6,1.9,20.1
52,Caldwell Jones\jonesca01,C,23,SDA,79,,37.1,6.4,13.8,.465,0.0,0.1,.250,6.4,13.7,.466,.466,2.2,2.9,.743,4.1,9.8,13.9,1.8,0.8,4.0,2.0,4.0,15.0
53,Collis Jones\jonesco01,SF,24,KEN,58,,12.4,1.8,4.5,.388,0.0,0.1,.000,1.8,4.5,.392,.388,0.9,1.3,.654,1.6,1.6,3.2,0.6,0.4,0.2,0.7,1.6,4.4
54,Jimmy Jones\jonesji01,PG,29,UTS,83,,38.1,7.0,12.8,.550,0.0,0.0,.000,7.0,12.8,.551,.550,2.8,3.1,.884,1.2,3.1,4.3,5.2,1.9,0.4,2.9,2.5,16.8
55,Rich Jones\jonesri01,PF,27,SAA,78,,36.4,6.5,15.1,.434,0.2,0.6,.283,6.4,14.5,.440,.440,2.4,3.1,.772,2.2,5.3,7.4,3.4,0.9,0.2,1.9,3.5,15.6
56,Steve Jones\jonesst01,SG,31,TOT,86,,24.3,4.7,10.5,.445,0.2,0.5,.302,4.5,10.0,.452,.452,1.5,2.0,.762,0.7,2.0,2.7,2.2,0.3,0.2,2.0,2.6,10.9
56,Steve Jones\jonesst01,SG,31,CAR,44,,21.3,3.7,8.3,.441,0.0,0.2,.000,3.7,8.1,.450,.441,1.0,1.3,.746,0.7,1.5,2.2,1.3,0.3,0.2,1.5,2.2,8.3
56,Steve Jones\jonesst01,SG,31,DNR,42,,27.5,5.7,12.7,.448,0.3,0.9,.361,5.4,11.9,.454,.460,2.0,2.6,.771,0.8,2.5,3.3,3.0,0.3,0.1,2.6,3.0,13.7
57,Wil Jones\joneswi02,PF,26,MMT,81,,35.1,5.6,12.3,.454,0.0,0.3,.115,5.6,12.0,.463,.456,2.0,2.7,.741,2.5,5.7,8.2,2.5,1.3,1.0,2.3,3.4,13.2
58,Kevin Joyce\joyceke01,SG,22,INA,56,,17.6,3.1,7.7,.396,0.1,0.5,.185,3.0,7.2,.410,.402,1.1,1.4,.821,0.6,1.1,1.6,2.3,0.6,0.1,1.4,1.5,7.3
59,George Karl*\karlge01,PG,22,SAA,74,,18.1,3.2,6.8,.470,0.1,0.3,.364,3.1,6.5,.475,.478,1.3,1.5,.832,0.6,1.1,1.7,2.2,0.9,0.1,1.2,2.2,7.8
60,Bill Keller\kellebi01,PG,26,INA,75,,19.0,3.7,8.2,.454,0.7,1.7,.382,3.1,6.5,.473,.494,1.4,1.6,.870,0.6,1.1,1.7,2.3,0.5,0.0,1.3,1.1,9.5
61,Goo Kennedy\kennego01,SF,24,SAA,76,,18.9,2.6,4.6,.551,0.0,0.0,,2.6,4.6,.551,.551,0.8,1.1,.690,1.6,3.5,5.1,1.1,0.8,0.2,1.0,3.2,5.9
62,Larry Kenon\kenonla01,PF,21,NYA,84,,34.6,7.0,15.2,.462,0.0,0.0,.000,7.0,15.2,.463,.462,1.9,2.6,.703,4.5,7.0,11.5,1.3,0.9,0.2,3.0,3.0,15.9
63,Julius Keye\keyeju01,PF,27,DNR,79,,32.8,1.9,4.2,.447,0.0,0.1,.200,1.8,4.1,.451,.448,0.7,1.1,.679,2.8,5.9,8.7,1.7,0.5,1.9,1.1,3.0,4.5
64,Ron King\kingro01,SG,22,KEN,9,,14.0,2.7,7.8,.343,0.2,0.7,.333,2.4,7.1,.344,.357,1.6,1.9,.824,0.9,1.2,2.1,1.6,0.6,0.2,0.8,1.6,7.1
65,Bob Lackey\lackebo01,SG,24,NYA,3,,5.0,1.0,2.3,.429,0.0,0.0,,1.0,2.3,.429,.429,0.0,0.0,,1.0,0.3,1.3,0.3,0.3,0.0,0.3,0.7,2.0
66,Wendell Ladner\ladnewe01,SF,25,TOT,64,,24.5,3.8,10.5,.364,0.4,1.4,.267,3.4,9.1,.379,.382,0.5,0.8,.547,1.7,5.0,6.7,2.3,1.7,0.1,2.0,3.6,8.5
66,Wendell Ladner\ladnewe01,SF,25,KEN,34,,27.3,4.5,12.3,.368,0.2,1.1,.162,4.4,11.2,.388,.376,0.7,1.2,.585,2.1,5.8,7.9,2.5,1.8,0.1,1.9,4.0,9.9
66,Wendell Ladner\ladnewe01,SF,25,NYA,30,,21.2,3.0,8.4,.357,0.6,1.8,.340,2.4,6.6,.362,.393,0.2,0.4,.417,1.3,4.1,5.4,2.2,1.5,0.1,2.1,3.3,6.8
67,Bo Lamar\lamarbo01,SG,22,SDA,84,,33.6,8.2,20.5,.397,0.8,2.9,.279,7.3,17.6,.417,.417,3.2,4.2,.777,1.3,2.2,3.5,3.4,1.5,0.2,2.2,1.8,20.4
68,Mo Layton\laytomo01,PG,25,MMT,3,,21.7,2.7,5.7,.471,0.0,0.0,,2.7,5.7,.471,.471,1.0,1.0,1.000,0.3,1.0,1.3,2.3,0.0,0.3,2.3,1.3,6.3
69,George Lehmann\lehmage01,PG,31,MMT,33,,16.8,2.1,5.4,.384,0.5,1.5,.360,1.5,3.8,.394,.435,0.5,0.6,.947,0.2,0.9,1.1,3.5,0.4,0.1,1.6,1.6,5.2
70,Freddie Lewis\lewisfr02,PG,30,INA,78,,27.7,3.7,9.3,.398,0.2,0.9,.181,3.6,8.4,.422,.407,2.3,2.8,.831,1.1,1.5,2.6,4.1,1.3,0.1,2.2,2.4,9.9
71,Mike Lewis\lewismi01,C,27,CAR,3,,4.7,1.0,2.7,.375,0.0,0.0,,1.0,2.7,.375,.375,0.0,0.0,,1.0,0.7,1.7,0.0,0.0,0.0,0.3,0.7,2.0
72,Goose Ligon\ligongo01,PF,29,VIR,19,,18.9,1.9,4.5,.435,0.0,0.1,.000,1.9,4.4,.440,.435,1.0,1.3,.760,2.4,2.6,5.0,0.6,0.5,0.5,1.3,2.3,4.9
73,Gene Littles\littlge01,PG,30,CAR,84,,24.0,3.5,7.5,.470,0.0,0.3,.174,3.5,7.2,.481,.473,1.4,1.9,.714,1.0,1.7,2.8,3.3,1.3,0.2,1.5,1.9,8.4
74,Willie Long\longwi01,SF,23,DNR,82,,25.1,4.7,11.3,.414,0.0,0.0,.000,4.7,11.3,.415,.414,3.3,4.0,.831,2.4,3.3,5.7,1.2,0.7,0.2,1.9,3.0,12.6
75,Ed Manning\mannied01,SF,30,CAR,82,,22.1,3.6,7.4,.488,0.0,0.0,.500,3.6,7.4,.488,.489,1.0,1.2,.851,1.3,3.2,4.5,1.2,1.1,0.2,1.2,2.6,8.3
76,Ted McClain\mcclate01,SG,27,CAR,84,,30.7,5.0,10.4,.485,0.0,0.3,.074,5.0,10.1,.498,.486,3.0,3.9,.772,1.4,2.8,4.3,4.1,3.0,0.3,2.8,3.9,13.1
77,Patrick McFarland\mcfarpa01,SG,22,DNR,67,,11.3,2.4,5.4,.443,0.1,0.4,.333,2.3,5.0,.451,.454,0.5,0.8,.673,0.9,1.1,2.0,1.0,0.3,0.1,0.6,1.0,5.4
78,George McGinnis*\mcginge01,PF,23,INA,80,,40.8,9.9,21.1,.468,0.1,0.4,.147,9.8,20.7,.475,.469,6.1,8.9,.683,5.3,9.7,15.0,3.3,2.0,0.5,4.9,4.1,25.9
79,Bill Melchionni\melchbi01,PG,29,NYA,56,,20.5,2.1,4.9,.420,0.1,0.4,.217,2.0,4.5,.439,.429,1.1,1.3,.831,0.2,1.1,1.4,3.7,0.9,0.1,1.5,1.7,5.3
80,Larry Miller\millela01,SG,27,TOT,80,,24.6,3.5,8.0,.440,0.0,0.0,.000,3.5,7.9,.443,.440,1.9,2.9,.662,1.1,1.5,2.6,1.8,0.7,0.1,1.5,1.7,8.9
80,Larry Miller\millela01,SG,27,SDA,7,,9.7,0.7,1.9,.385,0.0,0.0,,0.7,1.9,.385,.385,1.0,1.4,.700,0.4,0.9,1.3,1.1,0.7,0.0,0.7,0.7,2.4
80,Larry Miller\millela01,SG,27,VIR,73,,26.0,3.8,8.6,.442,0.0,0.0,.000,3.8,8.5,.444,.442,2.0,3.0,.661,1.2,1.6,2.7,1.9,0.7,0.1,1.6,1.8,9.5
81,Gene Moore\moorege01,C,28,SDA,49,,18.3,3.1,6.9,.453,0.0,0.1,.143,3.1,6.8,.459,.454,0.8,1.7,.482,2.0,4.0,6.0,1.2,0.5,1.0,1.5,2.7,7.1
82,Rick Mount\mountri01,SG,27,TOT,52,,14.5,3.4,7.9,.437,0.2,0.9,.261,3.2,7.0,.459,.451,1.1,1.4,.831,0.5,0.6,1.2,1.3,0.5,0.0,0.9,1.5,8.3
82,Rick Mount\mountri01,SG,27,KEN,18,,15.3,3.1,8.4,.364,0.1,0.7,.154,2.9,7.7,.384,.371,1.1,1.4,.760,0.4,0.7,1.1,1.5,0.4,0.0,1.2,2.1,7.3
82,Rick Mount\mountri01,SG,27,UTS,34,,14.0,3.6,7.6,.479,0.3,1.0,.303,3.4,6.6,.504,.498,1.2,1.4,.870,0.6,0.6,1.2,1.1,0.6,0.0,0.8,1.2,8.8
83,Erwin Mueller\mueller01,PF,29,MMT,3,,6.7,0.0,1.3,.000,0.0,0.0,,0.0,1.3,.000,.000,0.7,1.7,.400,0.0,1.0,1.0,0.7,0.0,0.0,1.0,1.7,0.7
84,Swen Nater\natersw01,C,24,TOT,79,,30.1,5.9,10.7,.552,0.0,0.0,.000,5.9,10.7,.553,.552,2.3,3.2,.709,3.6,9.0,12.6,1.6,0.4,0.8,2.5,2.7,14.1
84,Swen Nater\natersw01,C,24,VIR,17,,22.0,4.9,8.9,.556,0.0,0.0,,4.9,8.9,.556,.556,2.7,4.3,.630,2.2,6.8,9.1,1.0,0.4,0.9,2.8,2.2,12.6
84,Swen Nater\natersw01,C,24,SAA,62,,32.3,6.2,11.2,.551,0.0,0.0,.000,6.2,11.2,.552,.551,2.2,2.9,.740,4.0,9.6,13.6,1.8,0.4,0.8,2.5,2.9,14.5
85,Bob Netolicky\netolbo01,C-PF,31,TOT,75,,21.9,4.2,8.6,.488,0.0,0.1,.333,4.2,8.5,.489,.489,1.4,2.2,.642,2.3,2.9,5.2,1.3,0.4,0.4,1.3,1.5,9.8
85,Bob Netolicky\netolbo01,PF,31,SAA,19,,25.7,5.3,10.3,.513,0.0,0.0,,5.3,10.3,.513,.513,1.5,2.4,.630,2.3,3.1,5.3,2.3,0.4,0.6,1.8,1.1,12.1
85,Bob Netolicky\netolbo01,C,31,INA,56,,20.7,3.8,8.0,.477,0.0,0.1,.333,3.8,7.9,.479,.479,1.4,2.1,.647,2.3,2.9,5.2,0.9,0.4,0.4,1.1,1.6,9.1
86,Johnny Neumann\neumajo01,SG-SF,22,TOT,87,,23.6,5.5,12.3,.450,0.2,0.9,.243,5.3,11.4,.466,.459,1.9,2.5,.772,1.2,1.4,2.6,2.9,1.1,0.3,2.9,3.3,13.2
86,Johnny Neumann\neumajo01,SF,22,MMT,43,,30.2,6.8,15.5,.439,0.2,0.8,.200,6.6,14.7,.452,.444,2.6,3.4,.779,1.5,1.6,3.2,4.1,1.3,0.3,3.7,3.7,16.4
86,Johnny Neumann\neumajo01,SG,22,UTS,44,,17.2,4.3,9.2,.469,0.3,0.9,.282,4.1,8.3,.489,.483,1.2,1.6,.757,1.0,1.1,2.0,1.7,0.9,0.3,2.1,2.8,10.1
87,Bill Newton\newtobi01,C,23,INA,11,,6.6,0.6,1.4,.467,0.0,0.0,,0.6,1.4,.467,.467,0.1,0.2,.500,0.1,1.5,1.6,0.5,0.2,0.0,0.6,1.1,1.4
88,Jim O'Brien\obrieji02,SF,22,NYA,11,,4.9,1.4,3.4,.405,0.0,0.4,.000,1.4,3.0,.455,.405,0.8,1.4,.600,1.2,0.4,1.5,0.5,0.3,0.3,0.7,0.5,3.5
89,Jimmy O'Brien\obrieji01,PG,23,TOT,72,,18.3,2.9,7.1,.411,0.1,0.4,.259,2.8,6.8,.420,.418,1.1,1.3,.832,0.7,1.2,1.9,3.5,0.9,0.0,1.6,1.1,7.1
89,Jimmy O'Brien\obrieji01,PG,23,KEN,46,,16.5,2.6,6.2,.419,0.0,0.2,.200,2.5,6.0,.427,.423,1.0,1.2,.833,0.7,1.2,1.8,3.0,0.7,0.0,1.5,1.0,6.2
89,Jimmy O'Brien\obrieji01,PG,23,SDA,26,,21.5,3.5,8.8,.402,0.2,0.7,.294,3.3,8.2,.410,.413,1.3,1.6,.829,0.7,1.2,1.9,4.4,1.1,0.0,1.7,1.2,8.6
90,Tom Owens\owensto01,PF,24,CAR,81,,28.2,5.5,10.4,.527,0.0,0.1,.333,5.5,10.3,.528,.528,2.8,3.6,.769,3.7,5.1,8.9,1.6,0.7,0.5,2.1,3.8,13.8
