Player,PlayerID,Tms,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Pete Maravich,maravpe01,NOJ,SG,31,49,,37.2,8.9,21.1,0.421,,,,8.9,21.1,0.421,0.421,4.8,5.7,0.841,0.7,1.8,2.5,5.0,1.2,0.4,4.1,2.1,22.6
Phil Chenier,cheniph01,WSB,SG,28,27,,14.3,2.6,5.9,0.437,,,,2.6,5.9,0.437,0.437,0.7,1.0,0.643,0.1,0.6,0.7,1.1,0.1,0.2,1.1,1.0,5.8
Phil Ford,fordph01,KCK,PG,22,79,,34.5,5.9,12.7,0.465,,,,5.9,12.7,0.465,0.465,4.1,5.1,0.813,0.4,1.9,2.3,8.6,2.2,0.1,4.1,3.1,15.9
Phil Hicks,hicksph01,DEN,SF,26,20,,6.4,0.9,2.2,0.419,,,,0.9,2.2,0.419,0.419,0.2,0.3,0.6,0.7,0.8,1.4,0.4,0.3,0.0,0.7,1.0,2.0
Phil Jackson,jacksph01,NJN,PF,33,59,,18.1,2.4,5.1,0.475,,,,2.4,5.1,0.475,0.475,1.5,1.8,0.819,1.0,2.0,3.0,1.4,0.8,0.4,1.3,2.8,6.3
Phil Smith,smithph01,GSW,SG,26,59,,38.8,8.3,16.6,0.501,,,,8.3,16.6,0.501,0.501,3.3,4.3,0.761,0.8,2.8,3.6,4.4,1.7,0.4,2.9,2.7,19.9
Purvis Short,shortpu01,GSW,PF,21,75,,22.7,4.9,10.3,0.479,,,,4.9,10.3,0.479,0.479,0.8,1.1,0.671,1.7,2.9,4.6,1.3,0.7,0.2,1.5,3.1,10.6
Quinn Buckner,bucknqu01,MIL,PG,24,81,,21.7,3.1,6.8,0.454,,,,3.1,6.8,0.454,0.454,1.0,1.5,0.632,0.7,1.9,2.6,5.8,1.9,0.2,2.6,2.8,7.2
Ralph Simpson,simpsra01,"PHI,NJN",SG,29,69,,14.2,2.5,6.3,0.402,,,,2.5,6.3,0.402,0.402,1.1,1.6,0.685,0.5,0.9,1.4,1.8,0.5,0.1,1.4,0.8,6.1
Randy Smith,smithra01,SDC,SG,30,82,,37.9,8.5,18.6,0.455,,,,8.5,18.6,0.455,0.455,3.6,4.4,0.813,1.2,2.4,3.6,4.8,2.2,0.1,3.1,2.2,20.5
Ray Epps,eppsra01,GSW,SF,22,13,,5.5,0.8,1.8,0.435,,,,0.8,1.8,0.435,0.435,0.5,0.6,0.75,0.0,0.4,0.4,0.2,0.1,0.0,0.2,0.5,2.0
Ray Williams,willira01,NYK,PG,24,81,,29.3,7.1,15.5,0.457,,,,7.1,15.5,0.457,0.457,3.1,3.9,0.802,1.3,2.3,3.6,6.2,1.6,0.2,3.5,3.4,17.3
Raymond Townsend,townsra01,GSW,SG,23,65,,11.9,2.0,4.4,0.439,,,,2.0,4.4,0.439,0.439,0.8,1.0,0.735,0.2,0.7,0.8,1.4,0.4,0.1,0.8,1.1,4.7
Reggie Theus,theusre01,CHI,PG,21,82,,33.6,6.5,13.6,0.48,,,,6.5,13.6,0.48,0.48,3.2,4.2,0.761,1.1,1.7,2.8,5.2,1.1,0.2,3.7,3.3,16.3
Rich Kelley,kelleri01,NOJ,C,25,80,,33.8,5.5,10.9,0.506,,,,5.5,10.9,0.506,0.506,4.7,5.7,0.814,3.8,9.0,12.8,3.6,1.6,2.1,3.6,3.9,15.7
Richard Washington,washiri01,KCK,PF,23,18,,8.9,0.8,2.3,0.341,,,,0.8,2.3,0.341,0.341,0.6,0.9,0.625,0.6,2.1,2.7,0.4,0.4,0.2,0.8,1.7,2.1
Rick Barry,barryri01,HOU,SF,34,80,,32.1,5.8,12.5,0.461,,,,5.8,12.5,0.461,0.461,2.0,2.1,0.947,0.5,3.0,3.5,6.3,1.2,0.5,2.5,2.4,13.5
Rick Robey,robeyri01,"IND,BOS",C,23,79,,22.3,4.1,8.5,0.478,,,,4.1,8.5,0.478,0.478,2.2,2.8,0.777,2.1,4.4,6.5,1.7,0.6,0.2,2.1,2.9,10.4
Rick Wilson,wilsori01,ATL,SG,22,61,,9.7,1.3,3.2,0.411,,,,1.3,3.2,0.411,0.411,0.4,0.7,0.545,0.3,0.9,1.2,1.2,0.5,0.1,0.7,1.1,3.0
Rickey Green,greenri01,DET,PG,24,27,,16.0,2.5,6.6,0.379,,,,2.5,6.6,0.379,0.379,1.7,2.5,0.672,0.6,0.9,1.5,2.3,0.9,0.0,1.6,1.4,6.6
Ricky Sobers,soberri01,IND,SG,26,81,,34.9,6.8,14.7,0.463,,,,6.8,14.7,0.463,0.463,3.7,4.2,0.882,1.5,2.3,3.7,5.6,1.7,0.3,3.8,3.9,17.3
Robert Parish,parisro01,GSW,C,25,76,,31.7,7.3,14.6,0.499,,,,7.3,14.6,0.499,0.499,2.6,3.7,0.698,3.5,8.6,12.1,1.5,1.3,2.9,3.1,4.0,17.2
Robert Reid,reidro01,HOU,SF,23,82,,27.5,4.7,9.5,0.492,,,,4.7,9.5,0.492,0.492,1.6,2.3,0.704,1.6,4.3,5.9,2.8,0.9,0.6,1.6,3.7,10.9
